"","Year","Date","sp_rich","jul"
"1",2012,2012-03-01,7,60
"2",2012,2012-03-05,8,64
"3",2012,2012-03-06,8,65
"4",2012,2012-03-07,11,66
"5",2012,2012-03-08,8,67
"6",2012,2012-03-09,12,68
"7",2012,2012-03-12,14,71
"8",2012,2012-03-13,12,72
"9",2012,2012-03-14,15,73
"10",2012,2012-03-15,13,74
"11",2012,2012-03-16,16,75
"12",2012,2012-03-19,16,78
"13",2012,2012-03-20,25,79
"14",2012,2012-03-21,14,80
"15",2012,2012-03-22,13,81
"16",2012,2012-03-26,12,85
"17",2012,2012-03-29,14,88
"18",2012,2012-04-03,17,93
"19",2012,2012-04-04,18,94
"20",2012,2012-04-05,22,95
"21",2012,2012-04-06,21,96
"22",2012,2012-04-09,20,99
"23",2012,2012-04-10,16,100
"24",2012,2012-04-11,17,101
"25",2012,2012-04-12,14,102
"26",2012,2012-04-16,13,106
"27",2012,2012-04-17,19,107
"28",2012,2012-04-19,10,109
"29",2012,2012-04-20,14,110
"30",2012,2012-04-21,6,111
"31",2012,2012-04-23,17,113
"32",2012,2012-04-24,21,114
"33",2012,2012-04-25,13,115
"34",2012,2012-04-26,13,116
"35",2012,2012-04-27,22,117
"36",2012,2012-04-30,12,120
"37",2012,2012-05-01,15,121
"38",2012,2012-05-02,1,122
"39",2012,2012-05-03,12,123
"40",2012,2012-05-04,21,124
"41",2012,2012-05-07,37,127
"42",2012,2012-05-08,43,128
"43",2012,2012-05-09,38,129
"44",2012,2012-05-10,48,130
"45",2012,2012-05-11,34,131
"46",2012,2012-05-12,44,132
"47",2012,2012-05-13,37,133
"48",2012,2012-05-14,38,134
"49",2012,2012-05-15,41,135
"50",2012,2012-05-16,43,136
"51",2012,2012-05-17,45,137
"52",2012,2012-05-18,45,138
"53",2012,2012-05-19,44,139
"54",2012,2012-05-20,44,140
"55",2012,2012-05-21,14,141
"56",2012,2012-05-22,1,142
"57",2012,2012-05-23,14,143
"58",2012,2012-05-24,17,144
"59",2012,2012-05-25,1,145
"60",2012,2012-05-29,17,149
"61",2012,2012-05-30,1,150
"62",2013,2013-03-01,14,59
"63",2013,2013-03-02,20,60
"64",2013,2013-03-04,23,62
"65",2013,2013-03-06,21,64
"66",2013,2013-03-07,20,65
"67",2013,2013-03-08,22,66
"68",2013,2013-03-11,26,69
"69",2013,2013-03-12,26,70
"70",2013,2013-03-13,29,71
"71",2013,2013-03-14,29,72
"72",2013,2013-03-15,21,73
"73",2013,2013-03-18,23,76
"74",2013,2013-03-19,28,77
"75",2013,2013-03-20,22,78
"76",2013,2013-03-21,24,79
"77",2013,2013-03-22,27,80
"78",2013,2013-03-25,24,83
"79",2013,2013-03-26,27,84
"80",2013,2013-03-27,29,85
"81",2013,2013-03-28,20,86
"82",2013,2013-03-29,28,87
"83",2013,2013-04-01,23,90
"84",2013,2013-04-02,20,91
"85",2013,2013-04-03,20,92
"86",2013,2013-04-04,31,93
"87",2013,2013-04-05,35,94
"88",2013,2013-04-08,36,97
"89",2013,2013-04-09,40,98
"90",2013,2013-04-11,45,100
"91",2013,2013-04-12,40,101
"92",2013,2013-04-15,51,104
"93",2013,2013-04-16,43,105
"94",2013,2013-04-17,40,106
"95",2013,2013-04-19,40,108
"96",2013,2013-04-22,42,111
"97",2013,2013-04-23,48,112
"98",2013,2013-04-24,47,113
"99",2013,2013-04-25,44,114
"100",2013,2013-04-26,29,115
"101",2013,2013-04-29,34,118
"102",2013,2013-04-30,48,119
"103",2013,2013-05-01,47,120
"104",2013,2013-05-02,45,121
"105",2013,2013-05-03,41,122
"106",2013,2013-05-06,40,125
"107",2013,2013-05-07,40,126
"108",2013,2013-05-08,43,127
"109",2013,2013-05-09,51,128
"110",2013,2013-05-10,59,129
"111",2013,2013-05-11,48,130
"112",2013,2013-05-12,39,131
"113",2013,2013-05-13,57,132
"114",2013,2013-05-14,63,133
"115",2013,2013-05-15,74,134
"116",2013,2013-05-16,55,135
"117",2013,2013-05-17,66,136
"118",2013,2013-05-18,54,137
"119",2013,2013-05-19,47,138
"120",2013,2013-05-20,49,139
"121",2013,2013-05-21,60,140
"122",2013,2013-05-22,1,141
"123",2013,2013-05-23,30,142
"124",2013,2013-05-24,42,143
"125",2013,2013-05-28,52,147
"126",2013,2013-05-29,43,148
"127",2013,2013-05-30,32,149
"128",2013,2013-05-31,31,150
"129",2013,2013-09-10,24,252
"130",2014,2014-03-01,1,59
"131",2014,2014-03-03,11,61
"132",2014,2014-03-07,18,65
"133",2014,2014-03-08,4,66
"134",2014,2014-03-10,17,68
"135",2014,2014-03-11,18,69
"136",2014,2014-03-13,20,71
"137",2014,2014-03-14,21,72
"138",2014,2014-03-17,19,75
"139",2014,2014-03-18,21,76
"140",2014,2014-03-20,25,78
"141",2014,2014-03-21,24,79
"142",2014,2014-03-24,25,82
"143",2014,2014-03-25,23,83
"144",2014,2014-03-26,22,84
"145",2014,2014-03-28,29,86
"146",2014,2014-03-31,27,89
"147",2014,2014-04-01,32,90
"148",2014,2014-04-02,28,91
"149",2014,2014-04-04,28,93
"150",2014,2014-04-07,32,96
"151",2014,2014-04-08,27,97
"152",2014,2014-04-09,27,98
"153",2014,2014-04-10,31,99
"154",2014,2014-04-11,32,100
"155",2014,2014-04-15,30,104
"156",2014,2014-04-16,32,105
"157",2014,2014-04-17,31,106
"158",2014,2014-04-18,36,107
"159",2014,2014-04-21,36,110
"160",2014,2014-04-22,37,111
"161",2014,2014-04-23,39,112
"162",2014,2014-04-24,43,113
"163",2014,2014-04-25,44,114
"164",2014,2014-04-29,41,118
"165",2014,2014-04-30,49,119
"166",2014,2014-05-01,43,120
"167",2014,2014-05-02,46,121
"168",2014,2014-05-05,37,124
"169",2014,2014-05-06,43,125
"170",2014,2014-05-07,53,126
"171",2014,2014-05-08,57,127
"172",2014,2014-05-10,55,129
"173",2014,2014-05-11,53,130
"174",2014,2014-05-12,53,131
"175",2014,2014-05-13,59,132
"176",2014,2014-05-14,55,133
"177",2014,2014-05-16,35,135
"178",2014,2014-05-17,42,136
"179",2014,2014-05-18,50,137
"180",2014,2014-05-19,51,138
"181",2014,2014-05-20,48,139
"182",2014,2014-05-22,47,141
"183",2014,2014-05-23,44,142
"184",2014,2014-05-27,29,146
"185",2014,2014-05-28,31,147
"186",2014,2014-05-30,30,149
"187",2015,2015-03-02,9,60
"188",2015,2015-03-03,15,61
"189",2015,2015-03-04,19,62
"190",2015,2015-03-06,12,64
"191",2015,2015-03-09,15,67
"192",2015,2015-03-10,17,68
"193",2015,2015-03-11,18,69
"194",2015,2015-03-12,18,70
"195",2015,2015-03-13,21,71
"196",2015,2015-03-16,22,74
"197",2015,2015-03-17,19,75
"198",2015,2015-03-18,18,76
"199",2015,2015-03-19,20,77
"200",2015,2015-03-24,18,82
"201",2015,2015-03-26,20,84
"202",2015,2015-03-30,20,88
"203",2015,2015-03-31,21,89
"204",2015,2015-04-01,25,90
"205",2015,2015-04-03,28,92
"206",2015,2015-04-06,31,95
"207",2015,2015-04-07,25,96
"208",2015,2015-04-08,31,97
"209",2015,2015-04-10,41,99
"210",2015,2015-04-13,1,102
"211",2015,2015-04-14,30,103
"212",2015,2015-04-15,31,104
"213",2015,2015-04-16,35,105
"214",2015,2015-04-17,35,106
"215",2015,2015-04-20,34,109
"216",2015,2015-04-21,30,110
"217",2015,2015-04-22,30,111
"218",2015,2015-04-24,33,113
"219",2015,2015-04-27,30,116
"220",2015,2015-04-28,32,117
"221",2015,2015-04-30,32,119
"222",2015,2015-05-01,31,120
"223",2015,2015-05-04,47,123
"224",2015,2015-05-06,52,125
"225",2015,2015-05-07,48,126
"226",2015,2015-05-08,56,127
"227",2015,2015-05-09,50,128
"228",2015,2015-05-12,49,131
"229",2015,2015-05-13,47,132
"230",2015,2015-05-14,47,133
"231",2015,2015-05-15,51,134
"232",2015,2015-05-16,56,135
"233",2015,2015-05-26,38,145
"234",2015,2015-05-27,35,146
"235",2015,2015-05-29,31,148
