"","species","observer","mu_prop","sd_prop"
"1","Red-bellied Woodpecker","Walter",0.00252525252525253,0.00618558015854338
"2","Red-bellied Woodpecker","Dreuth",0.00245098039215686,0.00600365133035093
"3","Red-bellied Woodpecker","Fidino",0.142125292740047,0.146525580883312
"4","Cooper's Hawk","Walter",0,0
"5","Cooper's Hawk","Dreuth",0,0
"6","Cooper's Hawk","Fidino",0.156337599750858,0.057909884744887
"7","Warbling Vireo","Walter",0.0636768826423999,0.039467398525059
"8","Warbling Vireo","Dreuth",0.070640756302521,0.04177175124029
"9","Warbling Vireo","Fidino",0.206975693642427,0.0161099340609735
"10","Mourning Dove","Walter",0.0739561041285179,0.0365458197439646
"11","Mourning Dove","Dreuth",0.0501896591970121,0.0362891350323285
"12","Mourning Dove","Fidino",0.208369650707565,0.0710251656324231
"13","House Finch","Walter",0,0
"14","House Finch","Dreuth",0,0
"15","House Finch","Fidino",0.272536085184721,0.0851061791325341
"16","Barn Swallow","Walter",0.200108506142989,0.0388610649757037
"17","Barn Swallow","Dreuth",0.0967699579831933,0.0659885767118932
"18","Barn Swallow","Fidino",0.372508408022398,0.0901473311493009
"19","Northern Rough-winged Swallow","Walter",0,0
"20","Northern Rough-winged Swallow","Dreuth",0.00897671568627451,0.0103009540499741
"21","Northern Rough-winged Swallow","Fidino",0.41546566857977,0.136134785849707
"22","American Goldfinch","Walter",0.209974746612678,0.0863272486801524
"23","American Goldfinch","Dreuth",0.186038165266106,0.0653493935371754
"24","American Goldfinch","Fidino",0.478545581304135,0.103083688937217
"25","Downy Woodpecker","Walter",0.135117016582534,0.0722795960384737
"26","Downy Woodpecker","Dreuth",0.088187149859944,0.0535618771779263
"27","Downy Woodpecker","Fidino",0.642005033247121,0.237790889215223
"28","Rock Pigeon","Walter",0,0
"29","Rock Pigeon","Dreuth",0,0
"30","Rock Pigeon","Fidino",0.675292658046825,0.299590017449753
"31","Black-capped Chickadee","Walter",0.0404355404355404,0.0484220003343303
"32","Black-capped Chickadee","Dreuth",0.00434173669467787,0.00677326910724588
"33","Black-capped Chickadee","Fidino",0.725691786637002,0.287304172735382
"34","Song Sparrow","Walter",0.418213428989291,0.0896531266830394
"35","Song Sparrow","Dreuth",0.417960725957049,0.101259082264798
"36","Song Sparrow","Fidino",0.729847590459825,0.105703461264448
"37","Northern Cardinal","Walter",0.00225225225225225,0.0055168687900522
"38","Northern Cardinal","Dreuth",0.0679505135387488,0.0711507982073661
"39","Northern Cardinal","Fidino",0.769021586201349,0.34895606184066
"40","American Crow","Walter",0.1447003688383,0.0624136929107415
"41","American Crow","Dreuth",0.0977547268907563,0.0620652864194668
"42","American Crow","Fidino",0.895380304839796,0.149253973128491
"43","European Starling","Walter",0,0
"44","European Starling","Dreuth",0.156945903361345,0.369856999841543
"45","European Starling","Fidino",0.907649772592385,0.0696748286575395
"46","Red-winged Blackbird","Walter",0.0520539378297999,0.0370814265189821
"47","Red-winged Blackbird","Dreuth",0.597903536414566,0.195714843013954
"48","Red-winged Blackbird","Fidino",0.913123057678637,0.0472383083901898
"49","House Sparrow","Walter",0,0
"50","House Sparrow","Dreuth",0,0
"51","House Sparrow","Fidino",0.94585191712578,0.0732279083920302
